,Unnamed: 0,command,state,startup,DMG,GC,direction,height
1521,1521,"4B,fc1B",Grd,8,0,15,"y,y","m,m"
1538,1538,"A+B,A",Grd,6,0,15,"y,x","m,h"
1539,1539,"A+B,AA",Grd,6,0,15,"y,x, x","m,h,h"
1540,1540,"A+B,AAA",Grd,6,0,15,"y,x, x, x ","m,h,h,m"
1541,1541,"A+B,AB",Grd,6,0,15,"y,x, y","m,h,m"
1542,1542,"A+B,2A",Grd,10,0,15,"y,x","m,sl"
1543,1543,"A+B,2AK",Grd,10,0,15,"y,x","m,sl"
1544,1544,"A+B,2A6K",Grd,10,0,15,"y,x","m,sl"
1545,1545,"A+B,2A4K",Grd,10,0,15,"y,x","m,sl"
1546,1546,"A+B,B",Grd,10,0,15,"y,y","m,m"
1547,1547,"A+B,BA",Grd,10,0,15,"y,y, x","m,m,h"
1548,1548,"A+B,BB",Grd,10,0,15,"y,y, y","m,m,m"
1549,1549,"A+B,BBB",Grd,10,0,15,"y,y, y, y","m,m,m,m"
1550,1550,"A+B,BBK",Grd,10,0,15,"y,y, y","m,m,m"
1551,1551,"A+B,BB6K",Grd,10,0,15,"y,y, y","m,m,m"
1552,1552,"A+B,BB4K",Grd,10,0,15,"y,y, y","m,m,m"
1553,1553,"A+B,6B",Grd,10,0,15,"y,y","m,m"
1554,1554,"A+B,6BA",Grd,10,0,15,"y,y, x","m,m, h"
1555,1555,"A+B,6BaB",Grd,10,0,15,"y,y, y","m,m, m"
1556,1556,"A+B,6BB",Grd,10,0,15,"y,y, y","m,m, m"
1557,1557,"A+B,4A+B",Grd,6,0,15,"y,y","m,m"
1558,1558,"A+B,A+B+K",Grd,10,0,15,"y,y","m,m"
1559,1559,"A+B,fcA",Grd,10,0,15,"y,x","m,sl"
1560,1560,"A+B,fcAK",Grd,10,0,15,"y,x","m,sl"
1561,1561,"A+B,fcA6K",Grd,10,0,15,"y,x","m,sl"
1562,1562,"A+B,fcA4K",Grd,10,0,15,"y,x","m,sl"
1563,1563,"A+B,fcB",Grd,10,0,15,"y,y","m,m"
1564,1564,"A+B,fc1B",Grd,8,0,15,"y,y","m,m"
1565,1565,"A+B,wsB",Grd,10,0,15,"y,y","m,m"
1566,1566,"A+B,wsBB",Grd,10,0,15,"y,y, y","m,m,m"
1567,1567,"A+B,wrK",Grd,8,0,15,"y,y","m,l"
1568,1568,"A+B,BT A",Grd,10,0,15,"y,x","m,h"
1569,1569,"A+B,BT 2A",Grd,10,0,15,"y,x","m,sl"
1570,1570,"A+B,BT A+B",Grd,8,0,15,"y,y","m,m"
1571,1571,"A+B,A+G",Grd,6,0,15,"y,x","m,h"
1572,1572,"A+B,4A+G",Grd,6,0,15,"y,x","m,h"
1573,1573,"A+B,BT A+G",Grd,6,0,15,"y,x","m,h"
1574,1574,"A+B,A+G miss",Grd,6,0,15,"y,x","m,h"
1575,1575,"A+B,4A+G miss",Grd,6,0,15,"y,x","m,h"
1576,1576,"A+B,BT A+G miss",Grd,6,0,15,"y,x","m,h"
1655,1655,"sword A+B,A",Grd,6,0,15,"y,x","m,h"
1656,1656,"sword A+B,AA",Grd,6,0,15,"y,x, x","m,h,h"
1657,1657,"sword A+B,AAA",Grd,6,0,15,"y,x, x, x ","m,h,h,m"
1658,1658,"sword A+B,AB",Grd,6,0,15,"y,x, y","m,h,m"
1659,1659,"sword A+B,2A",Grd,10,0,15,"y,x","m,sl"
1660,1660,"sword A+B,2AK",Grd,10,0,15,"y,x","m,sl"
1661,1661,"sword A+B,2A6K",Grd,10,0,15,"y,x","m,sl"
1662,1662,"sword A+B,2A4K",Grd,10,0,15,"y,x","m,sl"
1663,1663,"sword A+B,B",Grd,10,0,15,"y,y","m,m"
1664,1664,"sword A+B,BA",Grd,10,0,15,"y,y, x","m,m,h"
1665,1665,"sword A+B,BB",Grd,10,0,15,"y,y, y","m,m,m"
1666,1666,"sword A+B,BBB",Grd,10,0,15,"y,y, y, y","m,m,m,m"
