,command,state,startup,DMG,GC,direction,height
0,"AA,A",NH,8,24,0,"x, x,x","h,h,h"
0,"AA,A",CH,8,24,0,"x, x,x","h,h,h"
0,"AA,A",NH,8,24,0,"x, x,x","h,h,h"
0,"AA,A",CH,8,24,0,"x, x,x","h,h,h"
0,"AA,AA",NH,8,24,0,"x, x,x, x","h,h,h,h"
0,"AA,AA",CH,8,24,0,"x, x,x, x","h,h,h,h"
0,"AA,AA",NH,8,24,0,"x, x,x, x","h,h,h,h"
0,"AA,AA",CH,8,24,0,"x, x,x, x","h,h,h,h"
0,"AA,AAA",NH,8,24,0,"x, x,x, x, x ","h,h,h,h,m"
0,"AA,AAA",CH,8,24,0,"x, x,x, x, x ","h,h,h,h,m"
0,"AA,AAA",NH,8,24,0,"x, x,x, x, x ","h,h,h,h,m"
0,"AA,AAA",CH,8,24,0,"x, x,x, x, x ","h,h,h,h,m"
0,"AA,AB",NH,8,24,0,"x, x,x, y","h,h,h,m"
0,"AA,AB",CH,8,24,0,"x, x,x, y","h,h,h,m"
0,"AA,AB",NH,8,24,0,"x, x,x, y","h,h,h,m"
0,"AA,AB",CH,8,24,0,"x, x,x, y","h,h,h,m"
0,"AAA,A",NH,6,64,0,"x, x, x ,x","h,h,m,h"
0,"AAA,A",CH,6,64,0,"x, x, x ,x","h,h,m,h"
0,"AAA,A",NH,6,64,0,"x, x, x ,x","h,h,m,h"
0,"AAA,A",CH,6,64,0,"x, x, x ,x","h,h,m,h"
0,"AAA,AA",NH,6,64,0,"x, x, x ,x, x","h,h,m,h,h"
0,"AAA,AA",CH,6,64,0,"x, x, x ,x, x","h,h,m,h,h"
0,"AAA,AA",NH,6,64,0,"x, x, x ,x, x","h,h,m,h,h"
0,"AAA,AA",CH,6,64,0,"x, x, x ,x, x","h,h,m,h,h"
0,"AAA,AAA",NH,6,64,0,"x, x, x ,x, x, x ","h,h,m,h,h,m"
0,"AAA,AAA",CH,6,64,0,"x, x, x ,x, x, x ","h,h,m,h,h,m"
0,"AAA,AAA",NH,6,64,0,"x, x, x ,x, x, x ","h,h,m,h,h,m"
0,"AAA,AAA",CH,6,64,0,"x, x, x ,x, x, x ","h,h,m,h,h,m"
0,"AAA,AB",NH,6,64,0,"x, x, x ,x, y","h,h,m,h,m"
0,"AAA,AB",CH,6,64,0,"x, x, x ,x, y","h,h,m,h,m"
0,"AAA,AB",NH,6,64,0,"x, x, x ,x, y","h,h,m,h,m"
0,"AAA,AB",CH,6,64,0,"x, x, x ,x, y","h,h,m,h,m"
0,"AAA,2A",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,2A",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,2AK",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,2AK",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,2A6K",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,2A6K",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,2A4K",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,2A4K",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,B",NH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,B",CH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,BA",NH,10,64,0,"x, x, x ,y, x","h,h,m,m,h"
0,"AAA,BA",CH,10,64,0,"x, x, x ,y, x","h,h,m,m,h"
0,"AAA,BB",NH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BB",CH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BBB",NH,10,64,0,"x, x, x ,y, y, y","h,h,m,m,m,m"
0,"AAA,BBB",CH,10,64,0,"x, x, x ,y, y, y","h,h,m,m,m,m"
0,"AAA,BBK",NH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BBK",CH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BB6K",NH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BB6K",CH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BB4K",NH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BB4K",CH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,6B",NH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,6B",CH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,6BA",NH,10,64,0,"x, x, x ,y, x","h,h,m,m, h"
0,"AAA,6BA",CH,10,64,0,"x, x, x ,y, x","h,h,m,m, h"
0,"AAA,6BaB",NH,10,64,0,"x, x, x ,y, y","h,h,m,m, m"
0,"AAA,6BaB",CH,10,64,0,"x, x, x ,y, y","h,h,m,m, m"
